Код ГИБДД;Название регион;Код региона (КЛАДР);Код действителен;Специальный код
01;Республика Адыгея;0100000000000;1;0
02;Республика Башкортостан;0200000000000;1;0
03;Республика Бурятия;0300000000000;1;0
04;Республика Алтай (Горный Алтай);0400000000000;1;0
05;Республика Дагестан;0500000000000;1;0
06;Республика Ингушетия;0600000000000;1;0
07;Кабардино-Балкарская Республика;0700000000000;1;0
08;Республика Калмыкия;0800000000000;1;0
09;Республика Карааево-Черкесия;0900000000000;1;0
10;Республика Карелия;1000000000000;1;0
11;Республика Коми;1100000000000;1;0
12;Республика Марий Эл;1200000000000;1;0
13;Республика Мордовия;1300000000000;1;0
14;Республика Саха (Якутия);1400000000000;1;0
15;Республика Северная Осетия (Алания);1500000000000;1;0
16;Республика Татарстан;1600000000000;1;0
17;Республика Тыва;1700000000000;1;0
18;Удмуртская республика;1800000000000;1;0
19;Республика Хакасия;1900000000000;1;0
20;Чеченская республика;2000000000000;0;0
21;Чувашская республика;2100000000000;1;0
22;Алтайский край;2200000000000;1;0
23;Краснодарский край;2300000000000;1;0
24;Красноярский край;8400000000000;1;0
25;Приморский край;2500000000000;1;0
26;Ставропольский край;2600000000000;1;0
27;Хабаровский край;2700000000000;1;0
28;Амурская область;2800000000000;1;0
29;Архангельская область;2900000000000;1;0
30;Астраханская область;3000000000000;1;0
31;Белгородская область;3100000000000;1;0
32;Брянская область;3200000000000;1;0
33;Владимирская область;3300000000000;1;0
34;Волгоградская область;3400000000000;1;0
35;Вологодская область;3500000000000;1;0
36;Воронежская область;3600000000000;1;0
37;Ивановская область;3700000000000;1;0
38;Иркутская область;3800000000000;1;0
39;Калининградская область;3900000000000;1;0
40;Калужская область;4000000000000;1;0
41;Камчатский край;4100000000000;1;0
42;Кемеровская область;4200000000000;1;0
43;Кировская область;4300000000000;1;0
44;Костромская область;4400000000000;1;0
45;Курганская область;4500000000000;1;0
46;Курская область;4600000000000;1;0
47;Ленинградская область;4700000000000;1;0
48;Липецкая область;4800000000000;1;0
49;Магаданская область;4900000000000;1;0
50;Московская область;5000000000000;1;0
51;Мурманская область;5100000000000;1;0
52;Нижегородская область;5200000000000;1;0
53;Новгородская область;5300000000000;1;0
54;Новосибирская область;5400000000000;1;0
55;Омская область;5500000000000;1;0
56;Оренбургская область;5600000000000;1;0
57;Орловская область;5700000000000;1;0
58;Пензенская область;5800000000000;1;0
59;Пермский край;5900000000000;1;0
60;Псковская область;6000000000000;1;0
61;Ростовская область;6100000000000;1;0
62;Рязанская область;6200000000000;1;0
63;Самарская область;6300000000000;1;0
64;Саратовская область;6400000000000;1;0
65;Сахалинская область;6500000000000;1;0
66;Свердловская область;6600000000000;1;0
67;Смоленская область;6700000000000;1;0
68;Тамбовская область;6800000000000;1;0
69;Тверская область;6900000000000;1;0
70;Томская область;7000000000000;1;0
71;Тульская область;7100000000000;1;0
72;Тюменская область;7200000000000;1;0
73;Ульяновская область;7300000000000;1;0
74;Челябинская область;7400000000000;1;0
75;Забайкальский край;8000000000000;1;0
76;Ярославская область;7600000000000;1;0
77;г. Москва;7700000000000;1;0
78;г. Санкт-Петербург;7800000000000;1;0
79;Еврейская автономная область;7900000000000;1;0
80;Забайкальский край;8000000000000;1;0
81;Пермский край;5900000000000;1;0
82;Камчатский край;4100000000000;1;0
83;Ненецкий автономный округ;8300000000000;1;0
84;Красноярский край;8400000000000;1;0
85;Иркутская область;8500000000000;1;0
86;Ханты-Мансийский автономный округ - Югра;8600000000000;1;0
87;Чукотский автономный округ;8700000000000;1;0
88;Красноярский край;8400000000000;1;0
89;Ямало-Ненецкий автономный округ;8900000000000;1;0
90;Московская область;5000000000000;1;0
91;Калининградская область;3900000000000;1;0
92;Резерв МВД Российской Федерации;;1;1
93;Краснодарский край;2300000000000;1;0
94;Территории, находящиеся за пределами РФ и обслуживаемые Управлением режимных объектов МВД России (например, Байконур);;1;1
95;Чеченская республика;2000000000000;1;0
96;Свердловская область;6600000000000;1;0
97;г. Москва;7700000000000;1;0
98;г. Санкт-Петербург;7800000000000;1;0
99;г. Москва;7700000000000;1;0
102;Республика Башкортостан;0200000000000;1;0
116;Республика Татарстан;1600000000000;1;0
121;Чувашская республика;2100000000000;1;0
125;Приморский край;2500000000000;1;0
138;Иркутская область;3800000000000;1;0
142;Кемеровская область;4200000000000;1;0
150;Московская область;5000000000000;1;0
152;Нижегородская область;5200000000000;1;0
154;Новосибирская область;5400000000000;1;0
159;Пермский край;5900000000000;1;0
161;Ростовская область;6100000000000;1;0
163;Самарская область;6300000000000;1;0
164;Саратовская область;6400000000000;1;0
173;Ульяновская область;7300000000000;1;0
174;Челябинская область;7400000000000;1;0
177;г. Москва;7700000000000;1;0
178;г. Санкт-Петербург;7800000000000;1;0
199;г. Москва;7700000000000;1;0
