Раздел A;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
Подраздел AА;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
01;;Продукция сельского хозяйства, охота и связанные с этим услуги;
01.1;;Зерновые и технические культуры, продукция овощеводства и садоводства;
01.11.000;;Зерновые культуры и прочие сельскохозяйственные культуры, не включенные в другие группировки;
01.11.110;Тонна;Озимая твердая пшеница;G
01.11.120;Тонна;Яровая твердая пшеница;G
01.11.130;Тонна;Озимая мягкая сильная пшеница;G
01.11.140;Тонна;Озимая мягкая пшеница;G
01.11.150;Тонна;Яровая сильная пшеница;G
01.11.160;Тонна;Яровая мягкая пшеница;G
01.11.170;Тонна;Яровая персидская и плотноколосая пшеница;G
01.11.180;Тонна;Полба (спельта);G
01.11.210;Тонна;Меслин (смесь пшеницы и ржи);G
01.11.220;Тонна;Лопающаяся (рисовая) кукуруза;G
01.11.230;Тонна;Кремнистая кукуруза;G
01.11.240;Тонна;Зубовидная кукуруза и кукуруза прочих сортов (кроме сахарной);G
01.11.250;Тонна;Разнотипная кукуруза (смесь);G
01.11.260;Тонна;Зерно необрушенного риса;G
01.11.270;Тонна;Семена необрушенного риса;G
01.11.280;Тонна;Озимый ячмень;G
01.11.310;Тонна;Яровой ячмень;G
01.11.320;Тонна;Озимая рожь;G
01.11.330;Тонна;Яровая рожь;G
01.11.340;Тонна;Овес;G
01.11.350;Тонна;Сорго (джугара);G
01.11.360;Тонна;Гречиха;G
01.11.370;Тонна;Просо;G
01.11.380;Тонна;Семена канареечника;G
01.11.420;Тонна;Клубни раннеспелого и среднераннего картофеля;G
01.11.430;Тонна;Клубни среднеспелого, среднепозднего и позднеспелого картофеля;G
01.11.440;Тонна;Горох;G
01.11.450;Тонна;Фасоль;G
01.11.460;Тонна;Чечевица;G
01.11.480;Тонна;Маниок (кассава);G
01.11.510;Тонна;Батат (сладкий картофель);G
01.11.520;Тонна;Топинамбур (земляная груша);G
01.11.540;Тонна;Соевые бобы для посева;G
01.11.560;Тонна;Нелущеный арахис;G
01.11.570;Тонна;Лущеный, дробленый или недробленый арахис;G
01.11.580;;Семена подсолнечника, кунжута, сафлора, рапса, сурепицы, горчицы и рыжика;
01.11.581;Тонна;Семена подсолнечника;G
01.11.582;Тонна;Семена кунжута;G
01.11.583;Тонна;Семена сафлора;G
01.11.584;Тонна;Семена озимого рапса;G
01.11.585;Тонна;Семена ярового рапса (кользы);G
01.11.586;Тонна;Семена сурепицы;G
01.11.587;Тонна;Семена горчицы;G
01.11.588;Тонна;Семена рыжика;G
01.11.610;Тонна;Семена хлопчатника для посева;G
01.11.630;;Семена и плоды масличных культур, не включенные в другие группировки;
01.11.631;Тонна;Семена льна-кудряша;G
01.11.632;Тонна;Семена клещевины;G
01.11.633;Тонна;Семена мака;G
01.11.634;Тонна;Семена южной конопли;G
01.11.635;Тонна;Семена среднерусской конопли;G
01.11.636;Тонна;Копра;G
01.11.637;Тонна;Пальмовые орехи и ядра;G
01.11.640;Тонна;Табак с неотделенной средней жилкой;G
01.11.650;Тонна;Табак с частично или полностью отделенной средней жилкой;G
01.11.660;Тонна;Неферментированная махорка-сырье;G
01.11.670;Тонна;Корнеплоды фабричной сахарной свеклы, сушеные, измельченные или неизмельченные;G
01.11.680;Тонна;Прочая фабричная сахарная свекла;G
01.11.710;Тонна;Сахарный тростник;G
01.11.720;Тонна;Солома и мякина зерновых культур;G
01.11.730;Тонна;Корнеплодные кормовые культуры;G
01.11.740;Тонна;Бахчевые кормовые культуры;G
01.11.750;Тонна;Кормовые культуры на силос;G
01.11.760;Тонна;Кукуруза на корм;G
01.11.770;Тонна;Корма из однолетних трав;G
01.11.780;Тонна;Корма из многолетних трав;G
01.11.810;Тонна;Продукция культурных пастбищ и сенокосов;G
01.11.820;Тонна;Продукция естественных сенокосов и пастбищ;G
01.11.840;Тонна;Хлопок-сырец тонковолокнистых сортов хлопчатника;G
01.11.850;Тонна;Хлопок-сырец прочих сортов хлопчатника;G
01.11.860;;Необработанные волокна джута и прочих текстильных лубяных волокон, кроме льна, обыкновенной конопли и рами;
01.11.861;Тонна;Необработанные волокна джута;G
01.11.862;Тонна;Необработанные волокна кенафа;G
01.11.863;Тонна;Необработанные волокна канатника;G
