code;measure;name;level;parent;type
Раздел A;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;1;;
Подраздел AА;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;2;Раздел A;
01;;Продукция сельского хозяйства, охота и связанные с этим услуги;3;Подраздел AА;
01.1;;Зерновые и технические культуры, продукция овощеводства и садоводства;4;01;
01.11.000;;Зерновые культуры и прочие сельскохозяйственные культуры, не включенные в другие группировки;5;01.1;
01.11.110;Тонна;Озимая твердая пшеница;6;01.11.000;G
01.11.120;Тонна;Яровая твердая пшеница;6;01.11.000;G
01.11.130;Тонна;Озимая мягкая сильная пшеница;6;01.11.000;G
01.11.140;Тонна;Озимая мягкая пшеница;6;01.11.000;G
01.11.150;Тонна;Яровая сильная пшеница;6;01.11.000;G
01.11.160;Тонна;Яровая мягкая пшеница;6;01.11.000;G
01.11.170;Тонна;Яровая персидская и плотноколосая пшеница;6;01.11.000;G
01.11.180;Тонна;Полба (спельта);6;01.11.000;G
01.11.210;Тонна;Меслин (смесь пшеницы и ржи);6;01.11.000;G
01.11.220;Тонна;Лопающаяся (рисовая) кукуруза;6;01.11.000;G
01.11.230;Тонна;Кремнистая кукуруза;6;01.11.000;G
01.11.240;Тонна;Зубовидная кукуруза и кукуруза прочих сортов (кроме сахарной);6;01.11.000;G
01.11.250;Тонна;Разнотипная кукуруза (смесь);6;01.11.000;G
01.11.260;Тонна;Зерно необрушенного риса;6;01.11.000;G
01.11.270;Тонна;Семена необрушенного риса;6;01.11.000;G
01.11.280;Тонна;Озимый ячмень;6;01.11.000;G
01.11.310;Тонна;Яровой ячмень;6;01.11.000;G
01.11.320;Тонна;Озимая рожь;6;01.11.000;G
01.11.330;Тонна;Яровая рожь;6;01.11.000;G
01.11.340;Тонна;Овес;6;01.11.000;G
01.11.350;Тонна;Сорго (джугара);6;01.11.000;G
01.11.360;Тонна;Гречиха;6;01.11.000;G
01.11.370;Тонна;Просо;6;01.11.000;G
01.11.380;Тонна;Семена канареечника;6;01.11.000;G
01.11.420;Тонна;Клубни раннеспелого и среднераннего картофеля;6;01.11.000;G
01.11.430;Тонна;Клубни среднеспелого, среднепозднего и позднеспелого картофеля;6;01.11.000;G
01.11.440;Тонна;Горох;6;01.11.000;G
01.11.450;Тонна;Фасоль;6;01.11.000;G
01.11.460;Тонна;Чечевица;6;01.11.000;G
01.11.480;Тонна;Маниок (кассава);6;01.11.000;G
