Linked Data site	"http://esw.w3.org/topic/SweoIG/TaskForces/CommunityProjects/LinkingOpenData"	Ресурс посвящённые тематике Linked Data	linked data,semantic web	EN	Каталог ресурсов															
Freebase dataset	"http://download.freebase.com/"		wikipedia	EN	Массив данных															
List of Resource.org datasets	http://bulk.resource.org/		government	EN	Каталог массивов данных															
Labeled Faces data	http://vis-www.cs.umass.edu/lfw/	Welcome to Labeled Faces in the Wild, a database of face photographs designed for studying the problem of unconstrained face recognition. The dataset contains more than 13,000 images of faces collected from the web. Each face has been labeled with the name of the person pictured. 1680 of the people pictured have two or more distinct photos in the data set. The only constraint on these faces is that they were detected by the Viola-Jones face detector. More details can be found in the technical report below.	imaging	EN	Массив данных															
Country Files (GNS)	http://earth-info.nga.mil/gns/html/namefiles.htm	Complete Files of Geographic Names for Geopolitical Areas from GNS (ISO/IEC 10646 [Unicode UTF-8] Compliant as of 18 July 2002)	government, geo	EN	Массив данных															
IP Addresses Database - geotagging	http://www.hostip.info/dl/index.html	База IP адресов с возможностью определения географических координат адреса	ipaddress, geo, geotagging	EN	Массив данных															
HostIP: API address geotagging	http://www.hostip.info/use.html	API для определения географических координат	ipaddress, geo, geotagging, api	EN	API															
USA Airlanes database	http://web.mit.edu/airlinedata/www/default.html	База статистических данных о авиалиниях в США	industry, aviation, usa	EN	Массив данных															
Amazon Web Services	http://www.amazon.com/gp/browse.html?node=12782661	Коллекция API от Amazon	api	EN	Каталог API															
DMOZ RDF	http://rdf.dmoz.org/	Экспорт DMOZ в формате RDF	dmoz, catalog	EN	Массив данных															
Wikipedia data dumps	"http://meta.wikimedia.org/wiki/Data_dumps"	Экспорт данных из википедии	wikipedia	EN	Массив данных															
NOAA NSSL Historical Data Archive	http://data.nssl.noaa.gov/	Исторические данные наблюдения за погодой	weather	EN	Массив данных															
National Bureau of Economic Research	http://www.nber.org/data/	Экономические, торговые и производственные подборки массивов данных за исторические периоды	usa, economics	EN	Каталог массивов данных															
List of economic datasets	http://ucatlas.ucsc.edu/metadata/metadata.html		usa, economics	EN	Каталог массивов данных															
NIST Scientific datasets	http://www.itl.nist.gov/div898/strd/general/dataarchive.html	Массивы данных для научных и алгоритмических исследований	science, usa	EN	Каталог массивов данных															
USA Agriculture Service datasets	http://www.fas.usda.gov/psdonline/psdDownload.aspx	"Массивы данных United States Department of Agriculture"	economics, agroculture, usa	EN	Каталог массивов данных	CSV, RAW														
List of StatSci.org datasets	http://www.statsci.org/datasets.html	Коллекция ссылок на ресурсы	statistics, math, usa	EN	Каталог ресурсов															
ImageParsing.com dataset	http://www.imageparsing.com/regedit0.aspx	The LHI dataset is available for free to researchers at academic institutions (universities, schools and government research labs) for non-commercial purpose.	imaging	EN	Массив данных															
US Traffic Volume Trends	http://www.fhwa.dot.gov/ohim/tvtw/tvtpage.htm	Traffic Volume Trends is a monthly report based on hourly traffic count data reported by the States. These data are collected at approximately 4,000 continuous traffic counting locations nationwide and are used to estimate the percent change in traffic for the current month compared with the same month in the previous year. Estimates are re-adjusted annually to match the vehicle miles of travel from the Highway Performance Monitoring System and are continually updated with additional data.	usa, government, traffic	EN	Массив данных	XLS, PDF														
List of datasets on TAGora project	http://www.tagora-project.eu/data/#imdbnetflix	Коллекции датасетов по социальным сетям и сервисам	social, usa	EN	Массив данных															
BestFire Prices dataset	http://www.betfairpromo.com/betfairsp/prices/	Датасет по ценам в BestFirePrices.com	pricing, usa	EN	Массив данных	CSV														
US Elections Datasets	http://www.fec.gov/finance/disclosure/ftpdet.shtml#a2007_2008	These files for the three most recent election cycles are updated each Sunday and include any information entered into the FEC database up to that date.	government, usa	EN	Каталог массивов данных	TXT														
World Cities Dataset	http://www.maxmind.com/download/worldcities/	Датасет с перечнем городов мира	geo, international	EN	Массив данных	TXT														
List of InfoChimps free datasets	http://infochimps.org/	Большая коллекция структурированных датасетов	datasets, usa	EN	Каталог массивов данных	CSV, XML, YAML														
Общероссийский классификатор валют	http://www.rbc.ru/okv.html		russia, finances	RU	Массив данных	HTML(table)														
Каталог хостеров	http://www.hostobzor.ru/db/export.php	Каталог компаний хостеров в формате XML	russia, internet	RU	Массив данных	XML,SQL														
Классификатор валют на сайте ISO	http://www.iso.org/iso/support/faqs/faqs_widely_used_standards/widely_used_standards_other/currency_codes/currency_codes_list-1.htm	Классификатор стран и валют в странах	finances	EN	Массив данных	HTML(table)														
Реестр организаций, которым выдан сертификат соответствия требованиям Стандартов ПАРТАД	http://www.partad.ru/consult/reestr.htm	Реестр организаций, которым выдан сертификат соответствия требованиям Стандартов ПАРТАД	russia, finances	RU	Массив данных	HTML(table)														
Реестр издательств	http://isbn.bookchamber.ru/	Реестр издательств по зарегистрированным ISBN кодам	russia, books	RU	Массив данных	HTML(table)														
Перечень организаций подведомственных Росрыболовству	http://www.fishcom.ru/page.php?r=37	http://www.fishcom.ru/page.php?r=37Перечень организаций подведомственных Росрыболовству	russia, fish,sea, government	RU	Массив данных	HTML(table)														
Территориальные региональные управления и входящие в них ФГУ Росрыболовства	http://www.fishcom.ru/page.php?r=35&id=4	Территориальные региональные управления и входящие в них ФГУ Росрыболовства	russia, fish,sea, government	RU	Массив данных	HTML(table)														
Научно-исследовательский флот Росрыболовства	http://www.fishcom.ru/page.php?r=23&id=2	Структура научно-исследовательского флота по состоянию на 18 декабря 2006 года	russia, fish,sea	RU	Массив данных	HTML(table)														
Учебные заведения Росрыболовства	http://www.fishcom.ru/page.php?r=39	Высшие и специальные учебные заведения	russia, fish,sea	RU	Массив данных	HTML(table)														
Перечень учебных заведений	http://www.edu.ru/vuz/list/	Все вузы России	russia, education	RU	Массив данных	HTML(table)														
Перечень аккредитованных учреждений высшего образования	http://abitur.nica.ru	Перечень аккредитованных учреждений высшего образования	russia, education, government	RU	Массив данных	HTML(table)														
Каталог школ	http://www.ucheba.ru/school/?action=filter	База Школ	russia, education	RU	Массив данных	HTML(table)														
Образовательные учреждения Рособразования	http://www.ed.gov.ru/new_uprav/podvorgiu/ou/	Подъведомственные Рособразованию образовательные учреждения	russia, education	RU	Массив данных	HTML(table)														
Центры информатизации Рособразования	http://www.ed.gov.ru/new_uprav/podvorgiu/centry/	Ресурсные центры (РЦ), региональные центры информатизации (РЦИ) и центры новых информационных технологий в сфере образования и науки (ЦНИТ)	russia, education, government	RU	Массив данных	HTML(table)														
Все научно-исследовательские институты	http://www.scientific.ru/instit/instsig.html	Все научно-исследовательские институты	russia, education	RU	Массив данных	HTML(table)														
Реестр таможенных складов	http://www.customs.ru/ru/ved_info/popup.php?list286=tm	Реестр таможенных складов ФТС России	russia, customs, government	RU	Массив данных	HTML(table)														
Таможенные превозчики	http://www.customs.ru/ru/ved_info/popup.php?list286=car	Таможенные перевозчики ФТС России	russia, customs, government	RU	Массив данных	HTML(table)														
Таможенные органы России и их структурные подразделения	http://www.customs.ru/ru/ved_info/popup.php?list286=ktam	  Таможенные органы России и их структурные подразделения	russia, customs, government	RU	Массив данных	HTML(table)														
Свидетельства таможенных брокеров и средства связи	http://www.customs.ru/ru/ved_info/popup.php?list286=tbrok_svid	  Свидетельства таможенных брокеров и средства связи ФТС России	russia, customs, government	RU	Массив данных	HTML(table)														
Предварительные решения о классификации товаров ФТС России	http://www.customs.ru/ru/ved_info/popup.php?list286=predecision	  Предварительные решения о классификации товаров ФТС России	russia, customs, government	RU	Массив данных	HTML(table)														
Реестр складов временного хранения ФТС России	http://www.customs.ru/ru/ved_info/popup.php?list286=bx	Реестр складов временного хранения ФТС России	russia, customs, government	RU	Массив данных	HTML(table)														
Перевозчики - нарушители конвенции МДП	http://www.customs.ru/ru/ved_info/popup.php?list286=dnbdlist	  Перевозчики - нарушители конвенции МДП ФТС России	russia, customs, government	RU	Массив данных	HTML(table)														
Архив курсов обменов валют ФТС России	http://www.customs.ru/ru/ved_info/printable.php?list286=valuta	Архив курсов обменов валют ФТС России	russia, customs, government	RU	Массив данных	HTML(table)														
Товарная номенклатура внешнеэкономической деятельности Российской Федерации	http://www.customs.ru/ru/ved_info/popup.php?list286=tnvedall	  Товарная номенклатура внешнеэкономической деятельности Российской Федерации	russia, customs, government	RU	Массив данных	HTML(table)														
Перечень таможенных органов, имеющих достаточную техническую оснащенность для применения электронной формы декларирования	http://www.customs.ru/ru/ved_info/EFD1/popup.php/	Перечень таможенных органов, имеющих достаточную техническую оснащенность для применения электронной формы декларирования	russia, customs, government	RU	Массив данных	HTML(table)														
Реестр объектов интеллектуальной собственности (ОИС) ФТС России	http://www.customs.ru/ru/ved_info/copyright_pro//detail.php?id286=1642&i286=1	Реестр объектов интеллектуальной собственности (ОИС) ФТС России	russia, customs, government	RU	Массив данных															
Реестр банков и иных организаций, которые могут выступать в качестве гаранта (ФТС России)	http://www.customs.ru/ru/ved_info/garants/popup.php/	Реестр банков и иных организаций, которые могут выступать в качестве гаранта (ФТС России)	russia, customs, government	RU	Массив данных	HTML(table)														
Реестр евразийских патентов	http://ea.espacenet.com	Реестр евразийских патентов	russia, patent, government	RU	Массив данных	HTML(table)														
Единый федеральный реестр туроператоров	http://reestr.russiatourism.ru/	Единый федеральный реестр туроператоров	russia, government, tourism	RU	Массив данных	HTML(table)														
Реестр идентификаторов сертификатов для УЦ РФ	http://www.ctel.msk.ru/x500/OIDS/inform.htm	Реестр идентификаторов сертификатов для УЦ РФ	russia	RU	Массив данных	HTML(table)														
Государственный регистр фильмов	http://mkrf.ru/activity/register/	Государственный регистр фильмов	russia, government	RU	Каталог массивов данных	HTML(table)														
География российских IP	http://ipgeobase.ru/cgi-bin/Archive.cgi	Поиск географического местонахождения IP-адреса, выделенного RIPE локальным интернет-реестрам (LIR-ам) для Российской Федерации.	russia, internet, geo, geotagging	RU	Массив данных	TXT														
Статистика российских доменов	http://www.1stat.ru	1stat.RU - это уникальный некоммерческий проект, полностью посвященный статистике российских доменных зон. Россия - единственная страна, у которой две доменные зоны верхнего уровня - RU и SU. 	russia, internet, domains	RU	Форма поиска	HTML														
Статистика и аналитика по российским доменам	http://stat.reg.ru	Статистика по доменам в зонах RU и SU	russia, internet, domains	RU	Форма поиска	HTML														
База КЛАДР	http://www.gnivc.ru/Document.aspx?id=80	Классификатор адресов в Российской Федерации поддерживаемый налоговой службой	russia, classifiers, government	RU	Массив данных	DBF														
Международные и междугородние телефонные коды	http://www.mtt.ru/info/codes/index.wbp	Коды стран и городов на сайте MTT	russia, phone	RU	Форма поиска	HTML														
MTT - Справочник услуг ИСС	http://www.mtt.ru/info/iss_services/index.wbp	Помимо междугородной и международной связи, МТТ предоставляет своим клиентам широкий спектр услуг Интеллектуальной сети связи (услуги ИСС). 	russia, phone	RU	Форма поиска	HTML														
MTT - коды операторов мобильной связи	http://www.mtt.ru/info/def/index.wbp	Коды операторов сотовой связи (DEF коды)	russia, phone	RU	Форма поиска	HTML														
Российские почтовые индексы	http://info.russianpost.ru/database/ops.html	Полный перечень всех существующих почтовых индексов в России	russia, post, government	RU	Массив данных	DBF														
Справочник СОУН	http://www.nalog.ru/document.php?id=22655&topic=no_software	Справочник налоговых органов ответственных за постановку на учёт юридических лиц	russia, classifiers, government	RU	Массив данных	DBF														
Реестр юридических лиц	http://egrul.nalog.ru/fns/index.php	База регистрации юридических лиц	russia, government	RU	Форма поиска	HTML														
Перечень кредитных организаций на сайте Центробанка	http://www.cbr.ru/credit/colist.asp?find=&x=38&y=10&how=name&reg=0&status=3	Каталог кредитных организаций и форма поиска на сайте Центробанка	russia, finances	RU	Массив данных	HTML(table)														
Справочник БИК	http://www.pvision.ru/bik.htm	Справочник всех кредитных организаций BNKSEEK	russia, finances	RU	Массив данных	DBF														
Общероссийские классификаторы	http://www.mosclassific.ru/mClass/ork_list.php	"Общероссийские классификаторы на сайте классификаторов ГУП ""Московский социальный реестр"""	russia, government, classifiers	RU	Каталог массивов данных	HTML(table)														
Общемосковские классификаторы	http://www.mosclassific.ru/mClass/omk_list.php	"Общемосковские классификаторы на сайте классификаторов ГУП ""Московский социальный реестр"""	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор улиц	http://www.mosclassific.ru/mClass/omkum_load.php	Общемосковский классификатор улиц	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор территориальных единиц Москвы	http://www.mosclassific.ru/mClass/omkte_load.php	Общемосковский классификатор территориальных единиц Москвы	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор муниципальных образований Москвы	http://www.mosclassific.ru/mClass/omkmo_load.php	Общемосковский классификатор муниципальных образований Москвы	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор типов информационных ресурсов [ОМК ИР]	http://www.mosclassific.ru/mClass/omkir_load.php	Общемосковский классификатор типов информационных ресурсов [ОМК ИР]	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор информации об общемосковских классификаторах [ОКОК М]	http://www.mosclassific.ru/mClass/okokm_load.php	Общемосковский классификатор информации об общемосковских классификаторах [ОКОК М]	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общемосковский классификатор территорий Москвы [ОМК ТМ]	http://www.mosclassific.ru/mClass/omktm_load.php	Общемосковский классификатор территорий Москвы [ОМК ТМ]	russia, government, classifiers	RU	Каталог массивов данных	XML, DBF, XLS, HTML(table)														
Общероссийский классификатор объектов административно - территориального деления [ОКАТО]	http://www.mosclassific.ru/mClass/okato_view.php	Общероссийский классификатор объектов административно - территориального деления [ОКАТО]	russia, government, classifiers, geo, okato	RU	Форма поиска	HTML														
Общероссийский классификатор валют [ОКВ]	http://www.mosclassific.ru/mClass/okv_view.php	Общероссийский классификатор валют [ОКВ]	russia, government, classifiers, finances	RU	Форма поиска	HTML														
Общероссийский классификатор видов грузов, упаковки и упаковочных материалов [ОКВГУМ]	http://www.mosclassific.ru/mClass/okvgum_view.php	Общероссийский классификатор видов грузов, упаковки и упаковочных материалов [ОКВГУМ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор видов экономической деятельности [ОКВЭД]	http://www.mosclassific.ru/mClass/okved_view.php	Общероссийский классификатор видов экономической деятельности [ОКВЭД]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор гидроэнергетических ресурсов [ОКГР]	http://www.mosclassific.ru/mClass/okgr_view.php	Общероссийский классификатор гидроэнергетических ресурсов [ОКГР]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор видов экономической деятельности, продукции и услуг [ОКДП]	http://www.mosclassific.ru/mClass/okdp_view.php	Общероссийский классификатор видов экономической деятельности, продукции и услуг [ОКДП]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор единиц измерения [ОКЕИ]	http://www.mosclassific.ru/mClass/okei_view.php	Общероссийский классификатор единиц измерения [ОКЕИ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор занятий [ОКЗ]	http://www.mosclassific.ru/mClass/okz_view.php	Общероссийский классификатор занятий [ОКЗ]	russia, government, classifiers	RU	Форма поиска	HTML														
Общероссийский классификатор информации о населении [ОКИН]	http://www.mosclassific.ru/mClass/okin_view.php	Общероссийский классификатор информации о населении [ОКИН]	russia, government, classifiers	RU	Форма поиска	HTML														
